long,lat,name,opening_hours,phone,website,postcode,county,state,country
16.35975326,48.20526795,Natural History Museum Vienna,Th-Mo 09:00-18:30; We 09:00-21:00,+43 1 52177-0,https://www.nhm-wien.ac.at/,1010,NA,NA,Austria
8.942674704,44.40248973,Museo Civico di Storia Naturale Giacomo Doria,Tu-Su 10:00-18:00; Mo off,+39 010 564567,http://www.museidigenova.it/it/content/museo-di-storia-naturale,16121,Genova,Liguria,Italy
-70.68173899,-33.4420338,Museo Nacional de Historia Natural,NA,NA,NA,8350485,Provincia de Santiago,RegiÃ³n Metropolitana de Santiago,Chile
-9.150226546,38.71806635,Museum of Natural History and Science,NA,+351 213 921 800; +351 213 921 808,https://www.museus.ulisboa.pt/museu-nacional-de-historia-natural-e-da-ciencia,1250-102,Lisboa,NA,Portugal
-51.17513679,-30.02963505,Museu Anchieta de Ciências Naturais,NA,NA,NA,91330-002,RegiÃ£o Metropolitana de Porto Alegre,Rio Grande do Sul,Brazil
-81.61297288,41.51167554,Cleveland Museum of Natural History,Mo,Th-Sa 10:00-17:00; We 10:00-22:00; Su 12:00-17:00|| Jan 1,NA,44106,Cuyahoga County,Ohio,United States
10.31265133,43.53573326,Museo Storia Naturale del Mediterraneo,NA,NA,NA,57127,Livorno,Toscana,Italy
18.29837349,40.24921519,Museo Civico di Storia Naturale,NA,NA,NA,73021,Lecce,Puglia,Italy
120.9822778,14.58329268,National Museum of Natural History,NA,NA,NA,1000,NA,NA,Philippines
-1.564703481,47.21258709,Muséum d'Histoire Naturelle,10:00-18:00; Tu off; Jan 01,nov-01,NA,44000,Loire-Atlantique,Pays de la Loire,France
-3.689667774,40.44001257,Museo Nacional de Ciencias Naturales,Tu-Fr 10:00-17:00; Sa,Aug: Sa 10:00-15:00; Mo off; PH Mo 10:00-17:00; Jan 01,NA,28006,NA,Comunidad de Madrid,Spain
-76.53896027,3.436279924,Departmental Museum of Natural Sciences INCIVA,NA,NA,NA,720025,Cali,Valle del Cauca,Colombia
-72.92108608,41.31603412,Peabody Museum of Natural History,NA,NA,https://peabody.yale.edu/,06511,New Haven,NA,United States
-99.06837967,29.73077115,Bandera Natural History Museum,NA,NA,NA,78003,Bandera County,Texas,United States
57.50239149,-20.16327337,Musée d'Histoire Naturelle,closed,NA,NA,11317,NA,Port Louis,Mauritius
-0.369171308,39.47927314,Museo de Ciencias Naturales,Tu-Su,Ajuntament de ValÃ¨ncia,NA,46010,Comarca de ValÃ¨ncia,Comunitat Valenciana,Spain
-87.63542149,41.92698317,The Peggy Notebaert Nature Museum,Mo-Fr 09:00-17:00; Sa-Su 10:00-17:00,NA,https://www.naturemuseum.org/,60614,Cook County,Illinois,United States
8.270802748,50.00358653,Naturhistorisches Museum,Tu-Fr 10:00-17:00; Sa,NA,NA,55116,NA,Rheinland-Pfalz,Germany
-0.176001906,51.49651091,Natural History Museum,10:00-17:30,NA,https://www.nhm.ac.uk/,SW7 5BD,NA,England,United Kingdom
